key,title,reason
zeeshan_automating_2020,Automating {Everything,no_IaC_term;no_quality_term
10.1145/3307630.3342397,Ontology-Based Security Tool for Critical Cyber-Physical Systems,no_IaC_term
10.1145/3551349.3556923,BuildSonic: Detecting and Repairing Performance-Related Configuration Smells for Continuous Integration Builds,no_IaC_term
8780444,Improving Naïve Bayes in Sentiment Analysis For Hotel Industry in Indonesia,no_IaC_term
christudas_microservices_2024,Microservices in {AWS,no_IaC_term;no_quality_term
CHARDET2021102582,Toward safe and efficient reconfiguration with Concerto,no_IaC_term
10.5555/1316689.1316708,"Stochastic consistency, and scalable pull-based caching for erratic data stream sources",no_IaC_term
10.1145/3578244.3583722,Analyzing the Performance of SD-WAN Enabled Service Function Chains Across the Globe with AWS,no_IaC_term
10.1145/3460120.3485259,Unleashing the Tiger: Inference Attacks on Split Learning,no_IaC_term
TILT2021127138,Constraints and catalysts influencing green infrastructure projects: A study of small communities in Oregon (USA),no_IaC_term;no_quality_term
10.1145/3670998,Interpersonal Communication Interconnection in Media Convergence Metaverse,no_IaC_term
whitesell_containerization_2022,Containerization,no_quality_term
kozhevin_choosing_2024,Choosing the {Right,no_IaC_term;no_quality_term
10.1145/3411763.3441358,SpaceCHI: Designing Human-Computer Interaction Systems for Space Exploration,no_IaC_term
10.1145/1463542.1463550,Using decision trees to recognize visual events,no_IaC_term
edwards_network_2024,Network {Infrastructure,no_IaC_term;no_quality_term
11162003,Event-Driven Adaptive Optimal Control of a Class of Unknown Nonlinear Systems Via Generalized Fuzzy Hyperbolic Models,no_IaC_term
keeriyattil_microsegmentation_2019,Microsegmentation and {Zero,no_IaC_term;no_quality_term
10.1145/3759454,"Model Driven Engineering, Artificial Intelligence, and DevOps for Software and Systems Engineering: A Systematic Mapping Study of Synergies and Challenges",no_IaC_term
rael_net_2025,.{NET,no_IaC_term;no_quality_term
10.1145/1614320.1614327,SAM: enabling practical spatial multiple access in wireless LAN,no_IaC_term
10.1145/3385032.3385059,Understanding and Improving Continuous Integration and Delivery Practice using Data from the Wild,no_IaC_term
lad_introduction_2022,Introduction: {Dimensions,no_IaC_term;no_quality_term
haff_open_2021,Open {Source,no_IaC_term;no_quality_term
8780409,Data Comparison of NFC PN532 on Wemos Dl and MKR1000 Board through MQTT Protocol,no_IaC_term
10.1145/3485832.3488020,Reproducible and Adaptable Log Data Generation for Sound Cybersecurity Experiments,no_IaC_term
tonello_extend_2022,Extend {Your,no_IaC_term;no_quality_term
branco_cloud-native_2024,Cloud-{Native,no_IaC_term;no_quality_term
8780493,Feature Extraction Using Histogram of Oriented Gradient and Hu Invariant Moment for Face Recognition,no_IaC_term
10.1145/268998.266666,HAC: hybrid adaptive caching for distributed storage systems,no_IaC_term;no_quality_term
NAVAS20131073,Reconciling run-time evolution and resource-constrained embedded systems through a component-based development framework,no_IaC_term
10.1145/3313831.3376850,Determining the Extractive Casting Mold of Intimate Platforms through Document Theory,no_IaC_term;no_quality_term
DOMMER2025168925,PaVE 2.0: Behind the Scenes of the Papillomavirus Episteme,no_quality_term
BISHT20202537,Assessing the Black Spots Focused Policies for Indian National Highways,no_IaC_term;no_quality_term
wang_getting_2024,Getting {Started,no_IaC_term;no_quality_term
10364124,A Support Vector Machine Based on Neural Dynamics Approach for Bearing Fault Classification,no_IaC_term
10.1109/ICGSE.2019.00-10,Challenges in adopting continuous delivery and DevOps in a globally distributed product team: a case study of a healthcare organization,no_IaC_term
IQBAL2025101514,IoV-TwinChain: Predictive maintenance of vehicles in internet of vehicles through digital twin and blockchain,no_IaC_term
barac_configuring_2023,Configuring {Security,no_IaC_term
7905757,A file undelete with Aho-Corasick algorithm in file recovery,no_IaC_term;no_quality_term
7905706,The implementation of Genetic Algorithm and Routing Lee for PCB design optimization,no_IaC_term
jakobczyk_introducing_2020,Introducing {Oracle,no_IaC_term;no_quality_term
CASCAVILLA2021102258,Cybercrime threat intelligence: A systematic multi-vocal literature review,no_IaC_term
10.1145/3421511,Analytical Program Power Characterization for Battery Depletion-time Estimation,no_IaC_term;no_quality_term
10.1145/3498343.3498350,Application of Amazon Web Services within teaching &amp; learning at Coventry University Group,no_IaC_term;no_quality_term
